,File Name,Duration (s)
0,T6E75400000,248704
1,T6E75400001,113024
2,T6E75400002,85696
3,T6E75400003,378816
4,T6E75400004,304384
5,T6E75400005,379072
6,T6E75400006,234496
7,T6E75400007,164992
8,T6E75400008,304384
9,T6E75400009,167488
10,T6E75400010,314944
11,T6E75400011,385344
12,T6E75400012,240384
13,T6E75400013,187392
14,T6E75400015,167680
15,T6E75400016,132032
16,T6E75400017,73856
17,T6E75400018,368384
18,T6E75400019,299200
19,T6E75400020,282624
20,T6E75400021,469440
21,T6E75400022,114944
22,T6E75400023,180288
23,T6E75400024,233728
24,T6E75400025,130176
25,T6E75400026,114368
26,T6E75400027,169088
27,T6E75400028,118080
28,T6E75400029,172736
29,T6E75400030,162688
30,T6E75400031,494144
31,T6E75400032,158976
32,T6E75400033,530496
33,T6E75400034,104960
34,T6E75400035,414464
35,T6E75400036,107840
36,T6E75400037,335296
37,T6E75400038,169536
38,T6E75400039,157952
39,T6E75400040,267776
40,T6E75400041,75968
41,T6E75400042,268032
42,T6E75400043,263104
43,T6E75400044,231488
44,T6E75400045,94976
45,T6E75400047,82368
46,T6E75400048,150528
47,T6E75400049,151616
48,T6E75400050,294656
49,T6E75400051,183040
50,T6E75400052,205888
51,T6E75400053,137024
52,T6E75400054,414464
53,T6E75400055,537408
54,T6E75400056,152832
55,T6E75400057,98112
56,T6E75400058,341120
57,T6E75400059,290816
58,T6E75400060,215360
59,T6E75400061,181632
60,T6E75400062,383744
61,T6E75400063,209088
62,T6E75400064,151168
63,T6E75400065,161984
64,T6E75400066,188224
65,T6E75400067,188288
66,T6E75400068,127104
67,T6E75400069,95424
68,T6E75400070,267776
69,T6E75400071,54016
70,T6E75400072,108864
71,T6E75400073,220416
72,T6E75400074,214464
73,T6E75400075,321984
74,T6E75400076,180032
75,T6E75400077,93952
76,T6E75400078,175616
77,T6E75400079,190464
78,T6E75400080,167488
79,T6E75400081,340736
80,T6E75400082,435584
81,T6E75400083,230592
82,T6E75400084,276608
83,T6E75400085,133504
84,T6E75400086,128448
85,T6E75400087,165824
86,T6E75400088,88384
87,T6E75400089,105792
88,T6E75400090,305024
89,T6E75400091,180032
90,T6E75400092,128832
91,T6E75400093,357248
92,T6E75400094,159936
93,T6E75400095,284160
94,T6E75400096,193984
95,T6E75400097,225472
96,T6E75400098,130432
97,T6E75400099,357248
98,T6E75400100,236096
99,T6E75400101,98752
100,T6E75400102,229376
101,T6E75400103,304320
102,T6E75400104,157184
103,T6E75400105,223040
104,T6E75400106,274560
105,T6E75400107,133824
106,T6E75400108,267712
107,T6E75400109,149184
108,T6E75400110,160896
109,T6E75400111,173888
110,T6E75400112,152768
111,T6E75400113,140032
112,T6E75400114,205120
113,T6E75400115,357056
114,T6E75400116,169280
115,T6E75400117,195200
116,T6E75400118,167680
117,T6E75400119,182976
118,T6E75400120,300992
119,T6E75400121,190784
120,T6E75400122,161856
121,T6E75400123,222016
122,T6E75400124,240384
123,T6E75400126,188736
124,T6E75400127,188928
125,T6E75400128,184768
126,T6E75400129,106304
127,T6E75400130,252096
128,T6E75400131,214080
129,T6E75400132,164544
130,T6E75400133,266944
131,T6E75400134,199296
132,T6E75400135,165248
133,T6E75400136,239808
134,T6E75400137,281024
135,T6E75400138,74432
136,T6E75400139,75456
137,T6E75400140,201856
138,T6E75400141,330112
139,T6E75400142,238016
140,T6E75400143,281216
141,T6E75400144,323136
142,T6E75400145,436032
143,T6E75400146,406464
144,T6E75400147,741504
145,T6E75400148,265856
146,T6E75400149,234752
147,T6E75400150,209536
148,T6E75400151,186688
149,T6E75400152,211008
150,T6E75400153,256256
151,T6E75400154,159744
152,T6E75400155,224448
153,T6E75400156,325696
154,T6E75400157,413248
155,T6E75400158,274304
156,T6E75400159,223872
157,T6E75400160,258752
158,T6E75400161,341248
159,T6E75400162,141440
160,T6E75400163,170304
161,T6E75400164,293504
162,T6E75400165,212672
163,T6E75400166,238656
164,T6E75400167,254208
165,T6E75400168,380352
166,T6E75400169,162304
167,T6E75400170,281152
168,T6E75400171,224896
169,T6E75400172,200000
170,T6E75400173,118848
171,T6E75400174,160960
172,T6E75400175,860736
173,T6E75400176,182400
174,T6E75400177,345152
175,T6E75400178,159744
176,T6E75400179,128256
177,T6E75400180,240128
178,T6E75400181,328448
179,T6E75400182,269760
180,T6E75400183,309888
181,T6E75400184,247872
182,T6E75400185,264704
183,T6E75400186,102400
184,T6E75400187,498944
185,T6E75400188,104512
186,T6E75400189,461824
187,T6E75400190,131200
188,T6E75400191,548096
189,T6E75400192,375680
190,T6E75400193,217728
191,T6E75400194,179264
192,T6E75400195,432768
193,T6E75400196,155392
194,T6E75400197,364608
195,T6E75400198,172224
196,T6E75400199,551360
197,T6E75400200,328832
198,T6E75400201,323392
199,T6E75400202,324224
200,T6E75400203,660480
201,T6E75400204,575360
202,T6E75400205,345344
203,T6E75400206,142400
204,T6E75400207,337536
205,T6E75400208,492096
206,T6E75400209,368064
207,T6E75400210,203520
208,T6E75400211,334912
209,T6E75400212,395520
210,T6E75400213,205824
211,T6E75400214,259456
212,T6E75400215,362112
213,T6E75400216,410368
214,T6E75400217,202432
215,T6E75400218,383296
216,T6E75400219,362432
217,T6E75400220,145536
218,T6V75110000,172118
219,T6V75110001,174720
220,T6V75110002,173248
221,T6V75110003,481408
222,T6V75110004,233152
223,T6V75110005,165120
224,T6V75110006,116358
225,T6V75110007,230656
226,T6V75110008,216768
227,T6V75110009,441088
228,T6V75110010,631488
229,T6V75110011,209664
230,T6V75110012,162944
231,T6V75110013,241024
232,T6V75110014,224064
233,T6V75110015,329600
234,T6V75110016,637376
235,T6V75110017,470464
236,T6V75110018,194048
237,T6V75110019,195648
238,T6V75110020,173312
239,T6V75110021,397248
240,T6V75110022,278976
241,T6V75110023,162432
242,T6V75110024,270720
243,T6V75110025,256320
244,T6V75110026,131840
245,T6V75110027,157248
246,T6V75110028,202624
247,T6V75110029,135232
248,T6V75110031,266624
249,T6V75110032,174144
250,T6V75110033,153728
251,T6V75110034,161728
252,T6V75110035,174398
253,T6V75110036,202432
254,T6V75110037,562048
255,T6V75110038,328768
256,T6V75110039,190848
257,T6V75110040,164352
258,T6V75110042,172800
259,T6V75110043,118144
260,T6V75110044,302656
261,T6V75110045,210944
262,T6V75110046,144576
263,T6V75110047,459712
264,T6V75110048,306496
265,T6V75110049,188032
266,T6V75110050,158528
267,T6V75110051,234560
268,T6V75110052,173056
269,T6V75110053,314944
270,T6V75110054,202624
271,T6V75110055,238848
272,T6V75110056,214016
273,T6V75110057,146816
274,T6V75110058,164032
275,T6V75110059,260800
276,T6V75110060,268992
277,T6V75110061,216192
278,T6V75110062,230592
279,T6V75110063,390976
280,T6V75110064,247872
281,T6V75110065,177280
282,T6V75110066,161728
283,T6V75110067,520576
284,T6V75110068,180672
285,T6V75110069,209792
286,T6V75110070,202816
287,T6V75110072,347072
288,T6V75110073,311680
289,T6V75110074,443584
290,T6V75110075,182464
291,T6V75110077,279616
292,T6V75110078,249408
293,T6V75110079,195584
294,T6V75110080,249536
295,T6V75110081,203264
296,T6V75110082,90432
297,T6V75110083,100416
298,T6V75110085,112896
299,T6V75110086,181312
300,T6V75110087,205184
301,T6V75110088,666432
302,T6V75110089,335296
303,T6V75110090,291008
304,T6V75110091,208192
305,T6V75110092,233608
306,T6V75110093,172133
307,T6V75110094,128384
308,T6V75110095,413312
309,T6V75110097,120384
310,T6V75110098,334784
311,T6V75110099,158976
312,T6V75110100,431936
313,T6V75110101,135659
314,T6V75110102,240960
315,T6V75110103,231232
316,T6V75110104,216704
317,T6V75110105,323520
318,T6V75110106,101760
319,T6V75110107,297408
320,T6V75110108,371840
321,T6V75110109,424192
322,T6V75110110,307584
323,T6V75110111,289984
324,T6V75110112,234112
325,T6V75110113,212416
326,T6V75110114,189184
