,File Name,Duration (s)
204,T6V80110001,183296
205,T6V80110003,443584
206,T6V80110004,230848
207,T6V80110005,163584
208,T6V80110006,115456
209,T6V80110007,240896
210,T6V80110008,238912
211,T6V80110009,425664
212,T6V80110010,650624
213,T6V80110011,227776
214,T6V80110012,167616
215,T6V80110013,240192
216,T6V80110014,215488
217,T6V80110015,317440
218,T6V80110016,610176
219,T6V80110017,483392
220,T6V80110018,204544
221,T6V80110019,194944
222,T6V80110020,190080
223,T6V80110021,400896
224,T6V80110023,159616
225,T6V80110024,271488
226,T6V80110025,260416
227,T6V80110026,132736
228,T6V80110027,167936
229,T6V80110028,225984
230,T6V80110029,176064
231,T6V80110030,218304
232,T6V80110031,291648
233,T6V80110032,202240
234,T6V80110033,158016
235,T6V80110034,183232
236,T6V80110035,164864
237,T6V80110036,197504
238,T6V80110037,584640
239,T6V80110038,333312
240,T6V80110039,190016
241,T6V80110040,165504
242,T6V80110041,377920
243,T6V80110042,173504
244,T6V80110043,134656
245,T6V80110044,342656
246,T6V80110045,236096
247,T6V80110046,164480
248,T6V80110047,475136
249,T6V80110048,330176
250,T6V80110049,193792
251,T6V80110050,172992
252,T6V80110052,181056
253,T6V80110053,350080
254,T6V80110054,230208
255,T6V80110055,274688
256,T6V80110056,251520
257,T6V80110057,154688
258,T6V80110058,178304
259,T6V80110059,276224
260,T6V80110060,281619
261,T6V80110062,239552
262,T6V80110063,422272
263,T6V80110064,255168
264,T6V80110065,191488
265,T6V80110066,172544
266,T6V80110067,562496
267,T6V80110068,180352
268,T6V80110070,215488
269,T6V80110071,201728
270,T6V80110072,425984
271,T6V80110074,510528
272,T6V80110076,269888
273,T6V80110077,297408
274,T6V80110078,268864
275,T6V80110079,204992
276,T6V80110081,222912
277,T6V80110082,94336
278,T6V80110083,115200
279,T6V80110084,353344
280,T6V80110085,110838
281,T6V80110086,188928
282,T6V80110087,212224
283,T6V80110089,439744
284,T6V80110090,281792
285,T6V80110091,200960
286,T6V80110092,232064
287,T6V80110093,181888
288,T6V80110094,133696
289,T6V80110095,503232
290,T6V80110096,253376
291,T6V80110097,121792
292,T6V80110098,340928
293,T6V80110099,167744
294,T6V80110100,419328
295,T6V80110102,238976
296,T6V80110103,227456
297,T6V80110105,337728
298,T6V80110106,107840
299,T6V80110107,306176
300,T6V80110108,395200
301,T6V80110109,431680
302,T6V80110110,301696
303,T6V80110111,294784
304,T6V80110112,257216
305,T6V80110113,227008
306,T6V80110114,201536
307,T6V80110115,299992
308,T6V80110116,233216
309,T6V80110117,181376
310,T6V80110118,302208
311,T6V80110121,235456
312,T6V80110122,876480
313,T6V80110123,180992
314,T6V80110124,478144
315,T6V80110125,165824
316,T6V80110126,451584
317,T6V80110127,309504
318,T6V80110128,356416
319,T6V80110129,708032
320,T6V80110131,216128
321,T6V80110132,281536
322,T6V80110133,249856
323,T6V80110134,179907
324,T6V80110135,235392
325,T6V80110136,160640
326,T6V80110137,183808
327,T6V80110138,224640
328,T6V80110139,325888
329,T6V80110140,359680
330,T6V80110142,289926
331,T6V80110143,254592
332,T6V80110144,200832
333,T6V80110145,207680
334,T6V80110146,216064
335,T6V80110147,487872
336,T6V80110148,229824
337,T6V80110149,192896
338,T6V80110150,151360
339,T6V80110151,178240
340,T6V80110152,308608
341,T6V80110155,309376
342,T6V80110156,272000
343,T6V80110157,272256
344,T6V80110159,302784
345,T6V80110160,414528
346,T6V80110161,218560
347,T6V80110162,207424
348,T6V80110163,148480
349,T6V80110165,606720
350,T6V80110166,138432
351,T6V80110167,98368
352,T6V80110169,429952
353,T6V80110170,359552
354,T6V80110171,188288
355,T6V80110173,183872
356,T6V80110174,280640
357,T6V80110176,259584
358,T6V80110177,339456
359,T6V80110178,399872
360,T6V80110180,224704
361,T6V80110181,378304
362,T6V80110182,237568
363,T6V80110183,180480
364,T6V80110184,193024
365,T6V80110185,195968
366,T6V80110186,271552
367,T6V80110187,266688
368,T6V80110188,320768
369,T6V80110189,317760
370,T6V80110190,437952
371,T6V80110192,260288
372,T6V80110195,153344
373,T6V80110197,500992
374,T6V80110198,182912
375,T6V80110199,345024
376,T6V80110200,259648
377,T6V80110201,141888
378,T6V80110202,302976
379,T6V80110203,202624
380,T6V80110204,508608
381,T6V80110205,205952
382,T6V80110207,328512
383,T6V80110208,398208
384,T6V80110209,133952
385,T6V80110210,189568
386,T6V80110211,888832
387,T6V80110212,315072
388,T6V80110213,178752
389,T6V80110214,353664
390,T6V80110215,386048
391,T6V80110216,398208
392,T6V80110218,252800
393,T6V80110219,165632
394,T6V80110220,174464
395,T6V80330000,37189
396,T6V80330001,40896
397,T6V80330002,38144
398,T6V80330003,49216
399,T6V80330005,53376
400,T6V80330006,51200
401,T6V80330007,84160
402,T6V80330008,56512
403,T6V80330010,57920
404,T6V80330011,58560
405,T6V80330012,55104
406,T6V80330013,48960
407,T6V80330014,56640
408,T6V80330015,54848
409,T6V80330016,38784
410,T6V80330017,58624
411,T6V80330018,72704
412,T6V80330019,47872
413,T6V80330020,52480
414,T6V80330021,50176
415,T6V80330022,57792
416,T6V80330023,69504
417,T6V80330024,67712
418,T6V80330025,61952
419,T6V80330026,56896
420,T6V80330027,51986
421,T6V80330028,54208
422,T6V80330029,52352
423,T6V80330030,52608
424,T6V80330031,45632
425,T6V80330032,73536
426,T6V80330033,58944
427,T6V80330034,80640
428,T6V80330035,43648
429,T6V80330036,63808
430,T6V80330037,61440
431,T6V80330038,51008
432,T6V80330039,80064
433,T6V80330040,71936
434,T6V80330041,72128
435,T6V80330042,42496
436,T6V80330043,46784
437,T6V80330044,58944
438,T6V80330045,60480
439,T6V80330046,73088
440,T6V80330047,49024
441,T6V80330049,64022
442,T6V80330050,54906
443,T6V80330051,56320
444,T6V80330052,66432
445,T6V80330053,77120
446,T6V80330055,51776
447,T6V80330056,59328
448,T6V80330057,59008
449,T6V80330058,64448
450,T6V80330059,58048
451,T6V80330060,51939
452,T6V80330061,59392
453,T6V80330063,50112
454,T6V80330064,69696
455,T6V80330065,75648
456,T6V80330066,57344
457,T6V80330067,73280
458,T6V80330068,47221
459,T6V80330069,50560
460,T6V80330071,52544
461,T6V80330072,50496
462,T6V80330073,53312
463,T6V80330074,50560
464,T6V80330075,46912
465,T6V80330076,50752
466,T6V80330077,83328
467,T6V80330078,51776
468,T6V80330079,82176
469,T6V80330080,51200
470,T6V80330081,59328
471,T6V80330082,67136
472,T6V80330083,85376
473,T6V80330084,60032
474,T6V80330085,65088
475,T6V80330086,71574
476,T6V80330087,66880
477,T6V80330088,48768
478,T6V80330089,42752
479,T6V80330090,65728
480,T6V80330091,53227
481,T6V80330092,62464
482,T6V80330093,50845
483,T6V80330094,52416
484,T6V80330095,44352
485,T6V80330096,45824
486,T6V80330097,60992
487,T6V80330099,56192
488,T6V80330100,58496
489,T6V80330101,54720
490,T6V80330102,54848
491,T6V80330103,74496
492,T6V80330104,56704
493,T6V80330105,57280
494,T6V80330106,56960
495,T6V80330107,69888
496,T6V80330108,53120
497,T6V80330109,62144
498,T6V80330110,71808
499,T6V80330111,70528
500,T6V80330112,70848
501,T6V80330113,57280
502,T6V80330114,62208
503,T6V80330115,64768
504,T6V80330116,47232
505,T6V80330117,52224
506,T6V80330118,54400
507,T6V80330119,61504
508,T6V80330120,58944
509,T6V80330121,69248
510,T6V80330122,52992
511,T6V80330123,60800
512,T6V80330124,55891
513,T6V80330125,53504
514,T6V80330126,52638
515,T6V80330127,82624
516,T6V80330128,62656
517,T6V80330129,55168
518,T6V80330130,65280
519,T6V80330131,50496
520,T6V80330132,56512
521,T6V80330133,57536
522,T6V80330134,62208
523,T6V80330135,43712
524,T6V80330136,54144
525,T6V80330137,55040
526,T6V80330138,47616
527,T6V80330139,55296
528,T6V80330140,62144
529,T6V80330141,65920
530,T6V80330142,55616
531,T6V80330143,63232
532,T6V80330144,60416
533,T6V80330145,52032
534,T6V80330146,66880
535,T6V80330147,78080
536,T6V80330148,64832
537,T6V80330149,67328
538,T6V80330150,53632
539,T6V80330151,66304
540,T6V80330152,61056
541,T6V80330153,59072
542,T6V80330154,52864
543,T6V80330155,54579
544,T6V80330157,55936
545,T6V80330158,67968
546,T6V80330159,40192
547,T6V80330160,65856
548,T6V80330161,58880
549,T6V80330162,66877
550,T6V80330163,60416
551,T6V80330164,53440
552,T6V80330165,47808
553,T6V80330166,62976
554,T6V80330167,37824
555,T6V80330168,43261
556,T6V80330169,60736
557,T6V80330170,79296
558,T6V80330171,54976
559,T6V80330172,65984
560,T6V80330173,64320
561,T6V80330174,48640
562,T6V80330175,62912
563,T6V80330176,58240
564,T6V80330177,60544
565,T6V80330178,73280
566,T6V80330179,57088
567,T6V80330180,51712
568,T6V80330181,88640
569,T6V80330182,87270
570,T6V80330183,77632
571,T6V80330184,55424
572,T6V80330185,41408
573,T6V80330186,48512
574,T6V80330187,58688
575,T6V80330188,73088
576,T6V80330189,64384
577,T6V80330190,49280
578,T6V80330191,55424
579,T6V80330192,53824
580,T6V80330193,71744
581,T6V80330194,51584
582,T6V80330195,71424
583,T6V80330196,58368
584,T6V80330197,68800
585,T6V80330198,73408
586,T6V80330199,51584
587,T6V80330200,44352
588,T6V80330201,40832
589,T6V80330202,48448
590,T6V80330203,66304
591,T6V80330204,75072
592,T6V80330205,45952
